OlinkID	UniProt	Assay
OID20526	Q9C035	TRIM5
OID20527	Q8N608	DPP10
OID20528	P23229	ITGA6
OID20529	Q6DN72	FCRL6
OID20530	P33241	LSP1
OID20531	Q9UNK0	STX8
OID20532	P13747	HLA-E
OID20533	P19474	TRIM21
OID20534	O75475	PSIP1
OID20535	P13232	IL7
OID20536	Q8IVG5	SAMD9L
OID20537	Q96LC7	SIGLEC10
OID20538	B1AKI9	ISM1
OID20539	Q6ZMH5	SLC39A5
OID20540	P78410	BTN3A2
OID20541	P12872	MLN
OID20542	Q12765	SCRN1
OID20543	P58294	PROK1
OID20544	Q9Y6K9	IKBKG
OID20545	O95644	NFATC1
OID20546	Q9Y258	CCL26
OID20547	Q8WTT0	CLEC4C
OID20548	Q3KPI0	CEACAM21
OID20549	Q9BT73	PSMG3
OID20550	P20849	COL9A1
OID20551	Q9HD26	GOPC
OID20552	P52564	MAP2K6
OID20553	Q9H0P0	NT5C3A
OID20554	Q9NZN5	ARHGEF12
OID20555	P42575	CASP2
OID20556	Q9UHC6	CNTNAP2
OID20557	P45984	MAPK9
OID20558	P11274	BCR
OID20559	Q9UDT6	CLIP2
OID20560	Q14242	SELPLG
OID20561	P78310	CXADR
OID20562	P40933	IL15
OID20563	P05231	IL6
OID20564	P24071	FCAR
OID20565	Q01151	CD83
OID20566	O76036	NCR1
OID20567	P19878	NCF2
OID20568	P23582	NPPC
OID20569	Q9NRJ3	CCL28
OID20570	P26022	PTX3
OID20571	Q03431	PTH1R
OID20572	Q9GZT9	EGLN1
OID20573	Q9UMR7	CLEC4A
OID20574	P13725	OSM
OID20575	P28845	HSD11B1
OID20576	P24394	IL4R
OID20577	Q9NWZ3	IRAK4
OID20578	Q14773	ICAM4
OID20579	Q16698	DECR1
OID20580	O60449	LY75
OID20581	Q9UKX5	ITGA11
OID20582	O15169	AXIN1
OID20584	P01730	CD4
OID20585	Q9NRM6	IL17RB
OID20587	Q6ZUJ8	PIK3AP1
OID20588	P16455	MGMT
OID20589	O94992	HEXIM1
OID20590	Q6UXB4	CLEC4G
OID20591	P20783	NTF3
OID20592	O14788	TNFSF11
